# Omega;omega_d;r_re_0;r_im_0;r_re_1;r_im_1;last_population_1_0;last_population_1_1;last_population_2_0;last_population_2_1;last_res_population_0;last_res_population_1
0.10000000000000001;5002.5;-0.015807710294812649;0.99992363567762022;-0.051319893927130877;-0.99852525269151182;6.0535260135210575e-05;0.99685355821275123;1.0149264646330844e-10;9.6626773499431084e-05;0.020280071959317612;0.022984169005992452
0.14871794871794872;5002.5;-0.015888609231668127;0.99992226183215183;-0.051327995027774742;-0.99851807731920106;0.00013389293975669926;0.996878772819079;2.259376023279647e-10;9.720172977875001e-05;0.044856975974552002;0.047229670348532996
0.19743589743589746;5002.5;-0.016001221748340511;0.99992033831869387;-0.051339195493243839;-0.99850776440543609;0.00023600131385677272;0.99691361805005863;4.0182144709526482e-10;9.8002471070756826e-05;0.0790682998236997;0.080974108481910279
0.24615384615384617;5002.5;-0.016145568690473677;0.99991785385148835;-0.051353426876970643;-0.99849396608905217;0.00036687278689246083;0.99695788738223101;6.3181552729935398e-10;9.9029530204602611e-05;0.1229202917910223;0.12421813925467005
0.29487179487179488;5002.5;-0.016321676640224991;0.99991479380777382;-0.051370616007335501;-0.99847620517104951;0.00052652325546258239;0.99701135234222615;9.1938661054583763e-10;0.00010028358780058796;0.17642096382022968;0.17696257344261943
0.34358974358974359;5002.5;-0.016529576726006079;0.99991113902399409;-0.051390685909095346;-0.99845385117852326;0.00071497211959471339;0.99707377998604418;1.2688340235535338e-09;0.00010176547170287665;0.23958009481223438;0.23920835752022815
0.3923076923076923;5002.5;-0.01676931303618745;0.99990687412634649;-0.051413789071314886;-0.99842632841568124;0.00093224229992255935;0.99714494155496169;1.6852972041296513e-09;0.00010347615658677473;0.31240923714755303;0.31095662060745072
0.44102564102564101;5002.5;-0.017040924099060106;0.9999019691025306;-0.051439858679495076;-0.9983927288705835;0.0011783602316459041;0.9972245926364528;2.1748702082034632e-09;0.00010541676007429218;0.39492171744203963;0.39220859270887248
0.48974358974358978;5002.5;-0.017344462333457322;0.99989639858615598;-0.051469093339473471;-0.99835232834974241;0.0014533558849115918;0.99731241848771801;2.744584878252092e-09;0.00010758853678102456;0.48713264724904637;0.48296578145299141
0.53846153846153844;5002.5;-0.017679984069590482;0.9998901319023612;-0.051501648568713199;-0.99830439000107984;0.0017572627665821056;0.99740797220407673;3.4025079215456138e-09;0.00010999286691773611;0.58905892755381573;0.58322998384727764
0.5871794871794872;5002.5;-0.018047551605763656;0.99988313506416471;-0.051537620653932636;-0.99824821178837564;0.0020901179330914278;0.9975106636906963;4.1578022019189264e-09;0.00011263124511251939;0.70071925693760284;0.69300331833740259
0.63589743589743586;5002.5;-0.018447233229142324;0.99987537074176158;-0.051577000002657414;-0.99818307291275465;0.0024519620035864526;0.99761984265685566;5.0208029445438381e-09;0.00011550527446196992;0.82213414008218921;0.81228815119983799
0.68461538461538463;5002.5;-0.018879103239578754;0.99986679822930946;-0.051619686543519006;-0.99810815983925827;0.0028428391742172949;0.99773494513349148;6.0031016775269754e-09;0.00011861666877636972;0.95332589710272087;0.94108695960363364
0.73333333333333339;5002.5;-0.019343241973911685;0.99985737340753977;-0.051665566975897637;-0.99802253068387881;0.0032627972335025528;0.99785559059202589;7.1176380612635894e-09;0.00012196725799441962;1.0943186737132236;1.0794022441453821
0.78205128205128205;5002.5;-0.019839735829670913;0.99984704870042374;-0.051714600584280124;-0.99792515738324972;0.0037118875788444863;0.99798152418772712;8.3787998220336406e-09;0.0001255589856827056;1.2451384522282225;1.2272365961549978
0.83076923076923082;5002.5;-0.020368677274782421;0.9998357730131332;-0.051766844795818612;-0.99781502243061804;0.0041901652341882192;0.99811243440773445;9.802531274059518e-09;0.0001293938920345524;1.4058130633858177;1.3845928891386212
0.87948717948717947;5002.5;-0.020930164789576322;0.99982349159896922;-0.05182240107056546;-0.99769119554764241;0.004697688868543954;0.99824782268755874;1.1406452135799882e-08;0.00013347408978527079;1.5763721988971922;1.5514744170188275
0.92820512820512824;5002.5;-0.021524303848603488;0.99981014693301418;-0.051881342809714015;-0.99755284042663339;0.0052345208207636787;0.9983870709189796;1.32099598736388e-08;0.00013780174924797888;1.7568474265521483;1.7278848436046517
0.97692307692307689;5002.5;-0.022151204646063682;0.99979567641026523;-0.051943673051918049;-0.99739914842527144;0.005800727110239226;0.99852963575029197;1.5234417689249638e-08;0.00014237909856058129;1.9472722010071433;1.9138279933727242
1.0256410256410255;5002.5;-0.022810984679594304;0.99978001476866007;-0.052009376800438378;-0.9972293175267648;0.0063963774714583203;0.99867514828471859;1.7503238339364721e-08;0.0001472084276646034;2.1476818830995938;2.1093077822212218
1.0743589743589743;5002.5;-0.023503767441245493;0.99976309271609265;-0.052078457417088053;-0.99704256506821198;0.0070215453718400706;0.99882332597044943;2.0042067381613029e-08;0.00015229207944160677;2.3581137539658901;2.3143282978280117
1.1230769230769231;5002.5;-0.024229682740703584;0.99974483714117601;-0.052150942394467492;-0.99683817372533523;0.0076763080383422735;0.99897384714516169;2.2878938408493258e-08;0.00015763242992328862;2.5786070325969233;2.5288939315684349
1.1717948717948719;5002.5;-0.024988866750185412;0.99972517104740921;-0.0522268579944003;-0.99661551048314279;0.0083607464840714987;0.99912635550522255;2.6044444540649445e-08;0.0001632318722605917;2.8092028938727704;2.7530093763368177
1.2205128205128206;5002.5;-0.025781462051378101;0.99970401348343529;-0.052306215733699535;-0.99637401776245593;0.0090749455361857686;0.99928054990850101;2.9571920019214168e-08;0.00016909281044026099;3.0499444875221275;2.9866795374869262
1.2692307692307692;5002.5;-0.026607617684884621;0.99968127946992513;-0.052389020477570991;-0.99611320761294175;0.0098189938651031504;0.99943621516793602;3.3497632226429551e-08;0.00017521765385648209;3.3008769580207358;3.2299095011929673
1.3179487179487179;5002.5;-0.027467489201843831;0.9996568799225074;-0.052475278613891785;-0.99583267076791171;0.0105929840150211;0.99959318198546687;3.7860984450255701e-08;0.0001816088059981688;3.5620474654406715;3.4827045719719667
1.3666666666666667;5002.5;-0.028361238717921733;0.99963072157097421;-0.052564995429198014;-0.9955320862467556;0.011397012435758752;0.99975130727349493;4.2704729753853666e-08;0.00018826865168259348;3.8335052072654086;3.7450702880091722
1.4153846153846155;5002.5;-0.029289034969814276;0.99960270687454866;-0.05265817093496028;-0.99521122290065622;0.012231179515931664;0.99991049455477476;4.8075196313757e-08;0.00019519954761507312;4.1153014411852382;4.0170123945598908
1.4641025641025642;5002.5;-0.030251053373991033;0.99957273393311319;-0.052754800266130664;-0.99486993891303532;0.013095589617468151;1.0000707048943087;5.402252461664571e-08;0.00020240381422967937;4.4074895088880437;4.2985368249676794
1.5128205128205128;5002.5;-0.031247476088021253;0.99954069639430676;-0.052854874695845488;-0.99450818324614021;0.013990351111479943;1.0002319486545848;6.0600916936540098e-08;0.00020988372648377278;4.7101248608622601;4.589649698987845
1.5615384615384615;5002.5;-0.032278492074353515;0.99950648335641556;-0.052958380898822321;-0.9941259964017638;0.01491557641549736;1.0003942824788634;6.7868899507823954e-08;0.00021764150487049992;5.0232650822286091;4.8903573140030883
1.6102564102564103;5002.5;-0.03334429716661047;0.99946997926683079;-0.053065300238319901;-0.99372350927548281;0.015871382032081251;1.0005578124186925;7.5889597882950222e-08;0.00022567930760839029;5.3469699196184868;5.2006661282358557
1.6589743589743591;5002.5;-0.034445094138150889;0.99943106381580349;-0.053175608638176719;-0.99330094130831237;0.016857888588819279;1.0007226930299264;8.4731025940796587e-08;0.00023399922339602841;5.6813013091159839;5.5205827461653776
1.7076923076923076;5002.5;-0.035581092772577261;0.99938961182489494;-0.053289276322650903;-0.9928585981572654;0.017875220879710444;1.000889124713529;9.4466389137433215e-08;0.00024260326460797917;6.0263234052798627;5.8501139038943757
1.7564102564102564;5002.5;-0.036752509951777812;0.99934549314457022;-0.053406267532941198;-0.99239686849662123;0.018923507908228387;1.0010573522721471;1.0517440116374434e-07;0.00025149336125696248;6.3821026113608541;6.1892664520835821
1.8051282051282052;5002.5;-0.037959569698529538;0.99929857250172283;-0.053526540060941485;-0.99191622028188431;0.02000288293097913;1.0012276629416601;1.1693961992005887e-07;0.00026067135572667969;6.7487076103589105;6.5380473361263514
1.8538461538461539;5002.5;-0.039202503294692548;0.99924870941066435;-0.053650045226160126;-0.99141719627143732;0.021113483504059297;1.0014003837427079;1.2985279321259191e-07;0.00027013899819072079;7.1262093976596379;6.8964635778848926
1.9025641025641027;5002.5;-0.040481549343221124;0.99919575802327587;-0.053776727509604827;-0.99090040922787626;0.022255451529861661;1.0015758787813305;1.4401122583817616e-07;0.00027989794281221164;7.514681314495383;7.2645222539968151
1.9512820512820512;5002.5;-0.041796953858336927;0.99913956699753792;-0.053906524359319974;-0.9903665366260278;0.023428933305790555;1.0017545463234279;1.5951916169950444e-07;0.00028994974470191777;7.9141990827510726;7.6422304738222406
2;5002.5;-0.043148970353836802;0.99907997935607018;-0.054039365991189303;-0.98981631504739764;0.024634079574387565;1.0019368156476987;1.7648818406713201e-07;0.00030029585762784966;8.324840840963132;8.0295953561414031
